시도명,선거구명,구시군명,읍면동명,투표타입,선거인수,투표수,후보자별 득표수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,계,"무효
투표수",기권수
서울특별시,종로구,종로구,,,,,"더불어민주당
곽상언","국민의힘
최재형","새로운미래
진예찬","개혁신당
금태섭","가락특권폐지당
김준수","대한국민당
김종갑","민중민주당
차은정",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,동명동,소계,"3,779","2,333","1,030","1,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,315",18,"1,446"
,,,,관내사전투표,"1,168","1,167",545,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,158",9,1
,,,,동명동제1투,"1,521",682,285,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676,6,839
,,,,동명동제2투,"1,090",484,200,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,3,606
,,,금호동,소계,"5,067","3,274","1,239","2,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,248",26,"1,793"
,,,,관내사전투표,"1,710","1,710",709,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,701",9,0
,,,,금호동제1투,"1,501",652,212,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,6,849
,,,,금호동제2투,"1,124",547,175,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537,10,577
,,,,금호동제3투,732,365,143,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,1,367
,,,교동,소계,"7,813","4,788","2,042","2,697",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,739",49,"3,025"
,,,,관내사전투표,"2,184","2,183","1,037","1,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,168",15,1
,,,,교동제1투,"2,239",963,341,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947,16,"1,276"
,,,,교동제2투,"3,390","1,642",664,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,624",18,"1,748"
,,,노학동,소계,"17,046","10,339","4,649","5,585",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,234",105,"6,707"
,,,,관내사전투표,"4,696","4,695","2,338","2,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,653",42,1
,,,,노학동제1투,"2,421","1,098",484,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,084",14,"1,323"
,,,,노학동제2투,"1,744",804,287,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,5,940
,,,,노학동제3투,"2,448",964,399,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,14,"1,484"
,,,,노학동제4투,"1,257",589,234,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,8,668
,,,,노학동제5투,"1,710",842,270,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832,10,868
,,,,노학동제6투,"2,770","1,347",637,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,335",12,"1,423"
,,,조양동,소계,"21,707","12,466","6,039","6,313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,352",114,"9,241"
,,,,관내사전투표,"4,971","4,970","2,765","2,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,939",31,1
,,,,조양동제1투,"2,322","1,014",455,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,15,"1,308"
,,,,조양동제2투,"1,951",897,379,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,11,"1,054"
,,,,조양동제3투,"3,103","1,252",613,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,242",10,"1,851"
,,,,조양동제4투,"3,883","1,684",765,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,667",17,"2,199"
,,,,조양동제5투,"2,072","1,038",418,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,017",21,"1,034"
,,,,조양동제6투,"3,405","1,611",644,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,602",9,"1,794"
,,,청호동,소계,"4,233","2,710","1,145","1,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,676",34,"1,523"
,,,,관내사전투표,"1,340","1,339",654,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,323",16,1
,,,,청호동제1투,"2,048",962,348,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,11,"1,086"
,,,,청호동제2투,845,409,143,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,7,436
,,,대포동,소계,"2,650","1,805",697,"1,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,788",17,845
,,,,관내사전투표,697,697,343,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691,6,0
,,,,대포동제1투,788,467,133,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,7,321
,,,,대포동제2투,"1,165",641,221,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,4,524
