시도명,선거구명,구시군명,읍면동명,투표타입,선거인수,투표수,후보자별 득표수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,계,"무효
투표수",기권수
서울특별시,종로구,종로구,,,,,"더불어민주당
곽상언","국민의힘
최재형","새로운미래
진예찬","개혁신당
금태섭","가락특권폐지당
김준수","대한국민당
김종갑","민중민주당
차은정",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,합계,,"126,041","88,779","44,713","38,752","1,080","2,835",54,85,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87,809",970,"37,262"
,,,거소·선상투표,,133,125,56,55,3,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,4,8
,,,관외사전투표,,"10,421","10,419","5,929","3,829",112,372,11,6,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,369",50,2
,,,국외부재자투표,,896,665,422,199,12,24,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,4,231
,,,청운효자동,소계,"9,104","6,503","3,377","2,728",114,201,1,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,447",56,"2,601"
,,,,관내사전투표,"3,100","3,100","1,872","1,049",54,94,1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,081",19,0
,,,,청운효자동제1투,"2,011","1,159",442,655,18,33,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,152",7,852
,,,,청운효자동제2투,"1,939","1,047",464,510,22,34,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,034",13,892
,,,,청운효자동제3투,"2,054","1,197",599,514,20,40,0,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,180",17,857
,,,사직동,소계,"7,172","4,860","1,988","2,511",69,232,1,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,816",44,"2,312"
,,,,관내사전투표,"2,091","2,091","1,020",937,27,96,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,085",6,0
,,,,사직동제1투,"1,685",928,426,444,14,32,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,10,757
,,,,사직동제2투,"3,396","1,841",542,"1,130",28,104,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,813",28,"1,555"
,,,삼청동,소계,"1,828","1,254",557,629,19,36,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,243",11,574
,,,,관내사전투표,581,581,319,228,11,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,3,0
,,,,삼청동투표소,"1,247",673,238,401,8,16,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,8,574
,,,부암동,소계,"7,023","4,873","2,410","2,176",62,160,4,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,827",46,"2,150"
,,,,관내사전투표,"1,890","1,890","1,161",633,15,66,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,880",10,0
,,,,부암동제1투,"1,870",991,411,508,19,36,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978,13,879
,,,,부암동제2투,"1,814","1,138",520,557,17,27,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,126",12,676
,,,,부암동제3투,"1,449",854,318,478,11,31,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843,11,595
,,,평창동,소계,"13,540","9,384","3,717","5,169",93,291,5,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,294",90,"4,156"
,,,,관내사전투표,"3,753","3,753","1,902","1,672",36,112,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,729",24,0
,,,,평창동제1투,"1,901","1,061",366,637,14,32,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,052",9,840
,,,,평창동제2투,"2,830","1,551",413,"1,062",9,47,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,533",18,"1,279"
,,,,평창동제3투,"1,744","1,086",358,667,11,34,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,074",12,658
,,,,평창동제4투,"1,641","1,016",401,542,17,34,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000",16,625
,,,,평창동제5투,"1,671",917,277,589,6,32,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,11,754
,,,무악동,소계,"6,104","4,596","2,222","2,126",39,160,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,559",37,"1,508"
,,,,관내사전투표,"2,320","2,320","1,306",913,22,64,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,307",13,0
,,,,무악동제1투,"1,638","1,031",424,537,9,48,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,021",10,607
,,,,무악동제2투,"2,146","1,245",492,676,8,48,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,231",14,901
,,,교남동,소계,"7,700","5,594","2,548","2,636",72,266,3,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,541",53,"2,106"
,,,,관내사전투표,"2,517","2,516","1,364",995,22,117,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,503",13,1
,,,,교남동제1투,"1,478",728,372,298,10,25,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,16,750
,,,,교남동제2투,"1,310",690,329,313,14,22,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,10,620
,,,,교남동제3투,"2,395","1,660",483,"1,030",26,102,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,646",14,735
,,,가회동,소계,"3,394","2,393","1,282","1,007",28,42,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,370",23,"1,001"
,,,,관내사전투표,"1,311","1,311",813,443,11,30,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,303",8,0
,,,,가회동투표소,"2,083","1,082",469,564,17,12,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,067",15,"1,001"
,,,종로1·2·3·4가동,소계,"5,581","3,224","1,418","1,619",47,88,4,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,185",39,"2,357"
,,,,관내사전투표,"1,484","1,484",772,648,17,36,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,475",9,0
,,,,종로1·2·3·4가동제1투,"1,750",721,243,431,13,19,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,9,"1,029"
,,,,종로1·2·3·4가동제2투,"2,347","1,019",403,540,17,33,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,21,"1,328"
,,,종로5·6가동,소계,"4,371","2,604","1,282","1,171",29,68,1,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,560",44,"1,767"
,,,,관내사전투표,"1,225","1,225",688,480,10,33,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,213",12,0
,,,,종로5·6가동제1투,"1,868",805,338,397,12,32,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,20,"1,063"
,,,,종로5·6가동제2투,"1,278",574,256,294,7,3,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562,12,704
,,,이화동,소계,"6,260","4,287","2,339","1,650",67,152,4,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,231",56,"1,973"
,,,,관내사전투표,"2,177","2,177","1,323",726,26,69,1,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,158",19,0
,,,,이화동제1투,"2,111","1,118",564,475,16,47,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,106",12,993
,,,,이화동제2투,"1,972",992,452,449,25,36,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967,25,980
,,,혜화동,소계,"13,338","9,144","4,713","3,735",123,390,5,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,999",145,"4,194"
,,,,관내사전투표,"4,293","4,293","2,543","1,467",51,176,2,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,251",42,0
,,,,혜화동제1투,"2,239","1,262",555,609,24,45,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,240",22,977
,,,,혜화동제2투,"2,109","1,119",509,524,12,44,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,096",23,990
,,,,혜화동제3투,"1,876","1,007",415,494,13,59,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985,22,869
,,,,혜화동제4투,"1,519",799,380,339,16,41,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,19,720
,,,,혜화동제5투,"1,302",664,311,302,7,25,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,17,638
,,,창신제1동,소계,"4,753","3,371","1,932","1,276",33,61,2,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,319",52,"1,382"
,,,,관내사전투표,"2,072","2,072","1,316",659,21,37,1,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,043",29,0
,,,,창신제1동제1투,704,295,123,157,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,9,409
,,,,창신제1동제2투,"1,977","1,004",493,460,10,23,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,14,973
,,,창신제2동,소계,"6,115","3,786","2,137","1,509",21,51,2,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,737",49,"2,329"
,,,,관내사전투표,"1,282","1,282",863,392,1,14,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,273",9,0
,,,,창신제2동제1투,"1,243",666,332,302,6,11,0,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,8,577
,,,,창신제2동제2투,"1,969","1,099",547,500,8,16,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,079",20,870
,,,,창신제2동제3투,"1,621",739,395,315,6,10,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727,12,882
,,,창신제3동,소계,"5,152","3,637","1,938","1,547",46,66,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,608",29,"1,515"
,,,,관내사전투표,"1,603","1,603",996,551,20,25,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,595",8,0
,,,,창신제3동제1투,"1,281",647,322,304,5,5,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,9,634
,,,,창신제3동제2투,"2,268","1,387",620,692,21,36,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,375",12,881
,,,숭인제1동,소계,"4,696","2,977","1,590","1,242",31,56,1,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,933",44,"1,719"
,,,,관내사전투표,"1,364","1,364",838,473,16,23,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,353",11,0
,,,,숭인제1동제1투,"1,882",883,410,416,12,19,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,17,999
,,,,숭인제1동제2투,"1,450",730,342,353,3,14,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,16,720
,,,숭인제2동,소계,"8,460","5,082","2,855","1,938",60,112,2,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,988",94,"3,378"
,,,,관내사전투표,"2,156","2,156","1,354",707,26,41,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,138",18,0
,,,,숭인제2동제1투,"2,819","1,205",649,471,16,29,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,169",36,"1,614"
,,,,숭인제2동제2투,"1,813",904,427,412,14,26,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883,21,909
,,,,숭인제2동제3투,"1,672",817,425,348,4,16,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,19,855
,,,잘못 투입·구분된 투표지,,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,-1
,중구성동구갑,성동구,,,,,"더불어민주당
전현희","국민의힘
윤희숙",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,합계,,"180,528","125,695","65,204","58,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"123,930","1,765","54,833"
,,,거소·선상투표,,194,181,84,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,11,13
,,,관외사전투표,,"14,421","14,409","8,513","5,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,226",183,12
,,,국외부재자투표,,784,561,387,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554,7,223
,,,응봉동,소계,"12,119","8,616","4,333","4,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,535",81,"3,503"
,,,,관내사전투표,"4,106","4,106","2,432","1,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,083",23,0
,,,,응봉동제1투,"2,516","1,227",537,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,211",16,"1,289"
,,,,응봉동제2투,"2,922","1,705",705,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,682",23,"1,217"
,,,,응봉동제3투,"2,575","1,578",659,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,559",19,997
,,,성수1가제1동,소계,"11,981","7,663","3,488","4,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,567",96,"4,318"
,,,,관내사전투표,"2,836","2,836","1,578","1,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,808",28,0
,,,,성수1가제1동제1투,"2,163",940,443,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,18,"1,223"
,,,,성수1가제1동제2투,"3,286","1,863",664,"1,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,839",24,"1,423"
,,,,성수1가제1동제3투,"2,001","1,123",399,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,109",14,878
,,,,성수1가제1동제4투,"1,695",901,404,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889,12,794
,,,성수1가제2동,소계,"10,915","7,890","3,810","3,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,776",114,"3,025"
,,,,관내사전투표,"3,494","3,494","1,893","1,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,462",32,0
,,,,성수1가제2동제1투,"1,283",652,276,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,18,631
,,,,성수1가제2동제2투,760,487,201,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,9,273
,,,,성수1가제2동제3투,"2,684","1,514",706,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,485",29,"1,170"
,,,,성수1가제2동제4투,"2,694","1,743",734,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,717",26,951
,,,성수2가제1동,소계,"12,504","8,020","3,884","4,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,925",95,"4,484"
,,,,관내사전투표,"3,712","3,712","2,067","1,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,686",26,0
,,,,성수2가제1동제1투,"2,005","1,008",398,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994,14,997
,,,,성수2가제1동제2투,"2,364","1,221",509,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,205",16,"1,143"
,,,,성수2가제1동제3투,"2,217",948,412,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928,20,"1,269"
,,,,성수2가제1동제4투,"2,206","1,131",498,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,112",19,"1,075"
,,,성수2가제3동,소계,"8,611","5,877","2,778","3,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,806",71,"2,734"
,,,,관내사전투표,"2,651","2,651","1,450","1,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,637",14,0
,,,,성수2가제3동제1투,"2,271","1,055",490,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,027",28,"1,216"
,,,,성수2가제3동제2투,"2,461","1,569",537,"1,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,546",23,892
,,,,성수2가제3동제3투,"1,228",602,301,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,6,626
,,,왕십리도선동,소계,"20,522","13,742","6,696","6,861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,557",185,"6,780"
,,,,관내사전투표,"4,817","4,817","2,790","1,993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,783",34,0
,,,,왕십리도선동제1투,"2,746","1,368",683,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,341",27,"1,378"
,,,,왕십리도선동제2투,"2,670","1,407",723,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,377",30,"1,263"
,,,,왕십리도선동제3투,"2,131","1,446",595,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,419",27,685
,,,,왕십리도선동제4투,"3,168","1,717",707,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,689",28,"1,451"
,,,,왕십리도선동제5투,"2,659","1,619",636,964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,600",19,"1,040"
,,,,왕십리도선동제6투,"2,331","1,368",562,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,348",20,963
,,,왕십리제2동,소계,"13,405","9,249","5,099","4,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,141",108,"4,156"
,,,,관내사전투표,"3,865","3,863","2,458","1,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,828",35,2
,,,,왕십리제2동제1투,"2,611","1,212",607,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,190",22,"1,399"
,,,,왕십리제2동제2투,"2,254","1,180",552,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,167",13,"1,074"
,,,,왕십리제2동제3투,"2,176","1,386",701,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,368",18,790
,,,,왕십리제2동제4투,"2,499","1,608",781,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,588",20,891
,,,행당제1동,소계,"11,780","8,306","4,185","4,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,189",117,"3,474"
,,,,관내사전투표,"3,712","3,712","2,165","1,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,673",39,0
,,,,행당제1동제1투,"2,059","1,028",440,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,011",17,"1,031"
,,,,행당제1동제2투,"2,512","1,550",663,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,529",21,962
,,,,행당제1동제3투,"1,777",854,426,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826,28,923
,,,,행당제1동제4투,"1,720","1,162",491,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,150",12,558
,,,행당제2동,소계,"17,516","12,534","6,346","6,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,387",147,"4,982"
,,,,관내사전투표,"5,201","5,199","3,100","2,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,171",28,2
,,,,행당제2동제1투,"2,554","1,474",607,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,448",26,"1,080"
,,,,행당제2동제2투,"2,324","1,207",605,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,190",17,"1,117"
,,,,행당제2동제3투,"2,484","1,496",686,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,466",30,988
,,,,행당제2동제4투,"2,412","1,570",667,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,547",23,842
,,,,행당제2동제5투,"2,541","1,588",681,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,565",23,953
,,,마장동,소계,"17,597","11,808","6,330","5,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,620",188,"5,789"
,,,,관내사전투표,"4,126","4,124","2,547","1,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,082",42,2
,,,,마장동제1투,"1,900","1,017",436,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,18,883
,,,,마장동제2투,"2,434","1,473",722,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,438",35,961
,,,,마장동제3투,"2,598","1,584",759,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,561",23,"1,014"
,,,,마장동제4투,"2,000","1,097",534,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,076",21,903
,,,,마장동제5투,"2,202","1,191",651,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,171",20,"1,011"
,,,,마장동제6투,"2,337","1,322",681,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,293",29,"1,015"
,,,사근동,소계,"9,735","5,642","2,997","2,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,478",164,"4,093"
,,,,관내사전투표,"2,053","2,053","1,246",768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,014",39,0
,,,,사근동제1투,"1,662",789,415,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763,26,873
,,,,사근동제2투,"2,074","1,043",517,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,006",37,"1,031"
,,,,사근동제3투,"3,946","1,757",819,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,695",62,"2,189"
,,,송정동,소계,"8,164","5,208","2,837","2,282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,119",89,"2,956"
,,,,관내사전투표,"2,269","2,269","1,352",893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,245",24,0
,,,,송정동제1투,"2,086","1,033",548,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,014",19,"1,053"
