SIDO,SGG,votes cast,democratic party,ppp
충남,공주부여청양,63806,33456,30350
충남,보령서천,57793,25597,32196
충남,아산갑,76708,42153,34555
충남,아산을,97648,58932,38716
충남,서산태안,97871,49351,48520
충남,논산계룡금산,28909,13691,15218
충남,당진,89140,46157,42983
충남,홍성예산,56565,28118,28447
전북,전주갑,95948,83081,12867
전북,전주을,97052,74038,23014
전북,전주병,134996,117407,17589
전북,군산김제부안갑,132936,115297,17639
전북,군산김제부안을,52084,46906,5178
전북,익산갑,66727,58984,7743
전북,익산을,73315,65027,8288
전북,정읍고창,58541,52045,6496
전북,남원장수임실순창,44478,38291,6187
전북,완주진안무주,56496,47871,8625
전남,목포,89093,82700,6393
전남,여수갑,77725,69092,8633
전남,여수을,55843,51811,4032
전남,순천광양곡성구례갑,96764,85172,11592
전남,순천광양곡성구례을,106845,80927,25918
전남,나주화순,52032,45241,6791
전남,담양함평영광장성,21864,20480,1384
전남,고흥보성장흥강진,38674,34992,3682
전남,해남완도진도,29073,27109,1964
전남,영암무안신안,23939,21862,2077
경북,포항북구,133560,42311,91249
경북,포항남울릉,118312,35753,82559
경북,경주,126042,33968,92074
경북,김천,69287,18079,51208
경북,안동예천,83772,26075,57697
경북,구미갑,104849,28749,76100
경북,구미을,92427,31261,61166
경북,영주영양봉화,57855,15845,42010
경북,영천청도,48156,12703,35453
경북,상주문경,55155,10890,44265
경북,경산,112339,49928,62411
경북,의성청송영덕울진,50054,22246,27808
경북,고령성주칠곡,18511,3336,15175
경남,창원의창,120770,51560,69210
경남,창원성산,133996,67489,66507
경남,창원마산합포,103488,37205,66283
경남,창원마산회원,106702,42924,63778
경남,창원진해,101703,50603,51100
경남,진주갑,113789,47450,66339
경남,진주을,70130,24540,45590
경남,통영고성,69213,28569,40644
경남,사천남해하동,51283,18636,32647
경남,김해갑,140822,73901,66921
경남,김해을,143599,80695,62904
경남,밀양의령함안창녕,59600,19755,39845
경남,거제,125343,59753,65590
경남,양산갑,98295,44735,53560
경남,양산을,99285,48600,50685
경남,산청함양거창합천,22871,7273,15598
제주,제주갑,125279,78776,46503
제주,제주을,117722,78774,38948
제주,서귀포,99672,53831,45841
